Title of first edition	Author of first edition	Place of first edition	Publisher of first edition	Date of first edition	Title of original source	Author of original source	Place of original source	Publisher of original source	Date of original source	Original electronic edition
Szép magyar komédia	Gyarmati Balassi Bálint	?	?	1656	Szép magyar komédia	Gyarmati Balassi Bálint	Budapest	Szépirodalmi Kiadó	1990	https://mek.oszk.hu/00600/00610/
Hazatérés	Balázs Béla	Moszkva	Mezsdunarodnaja Kniga Nemzetközi Könyv	1941	Hazatérés	Balázs Béla	Moszkva	Mezsdunarodnaja Kniga Nemzetközi Könyv	1941	https://mek.oszk.hu/20900/20945/
Mozart	Balázs Béla	Moszkva	Mezsdunarodnaja Kniga Nemzetközi Könyv	1941	Mozart	Balázs Béla	Moszkva	Mezsdunarodnaja Kniga Nemzetközi Könyv	1941	https://mek.oszk.hu/20900/20945/
Tragoedia magyar nyelven, az Sophocles Electrájából	Bornemissza Péter	zi	?	1558	Tragoedia magyar nyelven, az Sophocles Electrájából	Bornemissza Péter	Szentendre	Interpopulart	1993	https://mek.oszk.hu/00600/00625
A tanítónő	Bródy Sándor	Budapest	Singer - Wolfner	1908	A tanítónő	Bródy Sándor	Budapest	Unikornis Kiadó	1996	"<ref target=""http://mek.oszk.hu/00600/00629""/>"
A proletárok	Csiky Gergely	Budapest	Athenaeum	1882	A proletárok	Csiky Gergely	Budapest	Athenaeum	1984	https://mek.oszk.hu/05600/05688/
A vasember	Csiky Gergely	Budapest	Athenaeum	1888	A vasember	Csiky Gergely	Budapest	Magyar Népművelők Társasága	1943	http://mek.oszk.hu/08700/08781/
Buborékok	Csiky Gergely	Budapest	Athenaeum	1885	Buborékok	Csiky Gergely	Budapest	Móra	1983	https://mek.oszk.hu/07600/07631
A nagymama	Csiky Gergely	Budapest	Franklin	1891	A nagymama	Csiky Gergely	Budapest	Magyar Népművelők Társasága	1943	http://mek.oszk.hu/08700/08781/
A méla Tempefői azaz: az is bolond, aki poétává lesz Magyarországban	Csokonai Vitéz Mihály	Budapest	Szépirodalmi Kiadó	1956	A méla Tempefői azaz: az is bolond, aki poétává lesz Magyarországban	Csokonai Vitéz Mihály	Budapest	Szépirodalmi Kiadó	1980	https://mek.oszk.hu/06300/06302/
Az özvegy Karnyóné s két szeleburdiak	Csokonai Vitéz Mihály	Budapest	Nyugat: Nyugat Könyvtár	1911	Az özvegy Karnyóné s két szeleburdiak	Csokonai Vitéz Mihály	Budapest	Szépirodalmi Kiadó	1980	https://mek.oszk.hu/06300/06302/
A Janika	Csáth Géza	Budapest	Nyugat: Nyugat Könyvtár	1911	A Janika	Csáth Géza	Budapest	Szépirodalmi Kiadó	1987	https://mek.oszk.hu/00600/00632
Hamvazószerda	Csáth Géza	Budapest	Kner Nyomda	1974	Hamvazószerda	Csáth Géza	Budapest	Szépirodalmi Kiadó	1987	https://mek.oszk.hu/04300/04347
Kalmár és tengerész	Czakó Zsigmond	Pest	Trattner-Károlyi	1845	Kalmár és tengerész	Czakó Zsigmond	Budapest	Szépirodalmi Kiadó	1984	https://mek.oszk.hu/05700/05783
A bor	Gárdonyi Géza	Budapest	Singer - Wolfner	1901	A bor	Gárdonyi Géza	Budapest	Dante Könykiadó	1933	https://mek.oszk.hu/05800/05877
Császár és komédiás	Hevesi Sándor	Budapest	Athenaeum	1919	Császár és komédiás	Hevesi Sándor	Budapest	Athenaeum	1919	https://mek.oszk.hu/10200/10232/
Bankár és báró	Hugó Károly	Pest	Heckenast	1848	Bankár és báró	Hugó Károly	Pest	Heckenast	1848	https://mek.oszk.hu/05800/05841/
Nyári zápor	Hunyady Sándor	Budapest	Hindy András	1941	Nyári zápor	Hunyadi Sándor	Budapest	Hindy András	1941	https://mek.oszk.hu/21300/21397/
Levente	Jókai Mór	Pest	Révai	1898	Levente	Jókai Mór	Pest	Révai	1909	https://mek.oszk.hu/14500/14569/
Bánk bán	Katona József	Pest	Trattner	1820	Bánk bán	Katona József	Budapest	Interpopulart	1995	https://mek.oszk.hu/00700/00723/
A kérők	Kisfaludy Károly	Pest	?	1820	A kérők	Kisfaludy Károly	Budapest	Szépirodalmi Kiadó	1984	https://mek.oszk.hu/05800/05848
Stibor vajda	Kisfaludy Károly	Pest	Trattner	1820	Stibor vajda	Kisfaludy Károly	Budapest	Unikornis Kiadó	1999	https://mek.oszk.hu/16800/16879/
Csák végnapjai	Madách Imre	Budapest	Athenaeum	1888	Csák végnapjai	Madách Imre	Szeged	Madách Irodalmi Társaság	2007	https://mek.oszk.hu/00800/00847
Férfi és nő	Madách Imre	Budapest	Athenaeum	1888	Férfi és nő	Madách Imre	Szeged	Madách Irodalmi Társaság	2006	https://mek.oszk.hu/00800/00850
Mózes	Madách Imre	Budapest	Athenaeum	1888	Mózes	Madách Imre	Szeged	Madách Irodalmi Társaság	1984	https://mek.oszk.hu/00800/00871
Úri muri	Móricz Zsigmond	Budapest	Művelt Nép	1954	Úri muri	Móricz Zsigmond	Budapest	Szépirodalmi Kiadó	1980	https://mek.oszk.hu/01400/01438
Légy jó mindhahálig	Móricz Zsigmond	Budapest	Athenaeum	1941	Légy jó mindhahálig	Móricz Zsigmond	Budapest	Athenaeum	1941	https://mek.oszk.hu/14700/14706
Tisztújítás	Nagy Ignác	Buda	Magyar Királyi Egyetem	1843	Tisztújítás	Nagy Ignác	Budapest	Szépirodalmi Kiadó	1984	http://mek.oszk.hu/05800/05849/
Mátyás és Beatrix	Pekár Gyula	Budapest	Singer – Wolfner	1904	Mátyás és Beatrix	Pekár Gyula	Budapest	Singer – Wolfner	1904	https://mek.oszk.hu/10000/10044/
Tigris és hiéna	Petőfi Sándor	Pest	Emich	1847	Tigris és hiéna	Petőfi Sándor	Budapest	Lampel	1903	https://mek.oszk.hu/14500/14585/
Adáshiba	Szakonyi Károly	Budapest	Szépirodalmi Kiadó	1971	Adáshiba	Szakonyi Károly	Budapest	Szépirodalmi Kiadó	1971	0
Attila halála	Szász Károly	Budapest	M. Tut. Akadémia, Franklin Ny.	1893	Attila halála	Szász Károly	Budapest	M. Tut. Akadémia, Franklin Ny.	1893	0
A lelenc	Szigligeti Ede	Budapest	Pfeiffer	1879	A lelenc	Szigligeti Ede	Budapest	Szépirodalmi Kiadó	1960	https://mek.oszk.hu/05100/05183/
